語言偵測: zh (機率: 1.00)
[1.62s -> 8.02s] 我們從上次開始的機會已經正式改到晚上七點半正式開始
[8.02s -> 10.78s] 那因為台中地區非常容易塞車
[10.78s -> 13.56s] 所以大家能夠在七點半之前
[13.56s -> 16.72s] 準時到到這裡可見每一個人
[16.72s -> 20.08s] 想成功的氣圖性都非常非常強烈
[20.76s -> 22.70s] 並且我們古先生常講的一句話
[22.70s -> 25.04s] 要成功的一件事就是要氣圖性
[25.04s -> 27.08s] 所以先給各位再做每一個人
[27.16s -> 28.44s] 一個掌聲
[31.36s -> 33.60s] 今天非常歡迎各位來到這裡
[33.60s -> 35.02s] 我相信每一個人到這裡
[35.02s -> 37.00s] 想追求的都是一個
[37.00s -> 39.04s] 怎麼樣去經營一個新的思義
[39.04s -> 40.20s] 怎麼樣去瞭解
[40.20s -> 43.44s] 讓自己在享受的過程中
[43.44s -> 45.44s] 又能夠好好完成自己的夢想
[45.44s -> 47.76s] 所以我們今天也因應這個主題
[47.76s -> 52.22s] 要顯得也會非常不得了的演講者
[52.22s -> 55.52s] 它是接觸到雙赫這個過程
[55.52s -> 56.92s] 其實蠻好玩的
[56.92s -> 58.74s] 當初因為是密夜旅行
[58.74s -> 60.34s] 認識的一個朋友
[60.34s -> 62.72s] 朋友回來以後開始遇到雙赫事業
[62.72s -> 64.02s] 就開始跟他分享
[64.02s -> 66.30s] 那他就開始使用雙赫產品
[66.30s -> 68.84s] 覺得說雙赫的產品
[68.84s -> 70.88s] 讓他感覺真的很棒
[70.88s -> 73.10s] 可是他不太會去分享
[73.10s -> 76.34s] 知道有一次自己重瘋了
[76.34s -> 77.24s] 那不得了
[77.24s -> 78.20s] 當他自己重瘋
[78.20s -> 80.04s] 然後開始大樣去使用臨時
[80.04s -> 82.96s] 把自己從生命的邊緣強救回來
[82.96s -> 83.60s] 那真的是
[84.18s -> 85.46s] 講真的那個中風
[85.46s -> 87.92s] 如果講那個比比死還要難過
[87.92s -> 89.82s] 就救我自己的感覺而已
[89.82s -> 91.92s] 所以當他變成恢復正常的時候
[91.92s -> 94.00s] 心裡籃起的一個死命感
